number,state,title,url,created_at,updated_at,closed_at,merged_at,user,labels,seed_title_match,discovered_from_issue_timeline,referenced_seed_issues_in_body,base_ref,head_ref,merged,changed_files,additions,deletions,files_downloaded,reviews_downloaded,review_comments_downloaded,issue_comments_downloaded,body_excerpt
6322,closed,chore: skip flaky TestSpeedtest,https://github.com/coder/coder/pull/6322,2023-02-23T15:15:04Z,2023-02-23T15:30:11Z,2023-02-23T15:29:58Z,2023-02-23T15:29:58Z,johnstcn,,True,False,,main,cj/skip-speedtest-flake,True,1,1,0,1,1,0,0,<!-- Check if your change requires documentation edits before merging: https://coder.com/docs/coder. Make edits in `docs/`. -->
6350,closed,chore: increase activitybump deadline duration to fix flake,https://github.com/coder/coder/pull/6350,2023-02-26T18:22:51Z,2023-02-26T19:42:17Z,2023-02-26T19:42:02Z,2023-02-26T19:42:02Z,kylecarbs,,True,False,,main,activitytest,True,1,1,1,1,1,0,0,"This is a bad fix because the test is still dependant on time, but it's still an improvement."
6475,closed,chore: copy forced derp websockets to fix flake,https://github.com/coder/coder/pull/6475,2023-03-07T03:16:12Z,2023-03-07T03:29:43Z,2023-03-07T03:29:42Z,2023-03-07T03:29:42Z,kylecarbs,,True,False,,main,copymap,True,1,4,2,1,0,0,0,See: https://github.com/coder/coder/actions/runs/4350034299/jobs/7600478389
6482,closed,chore: fix coordinator flake by moving pubsub below register,https://github.com/coder/coder/pull/6482,2023-03-07T15:21:17Z,2023-03-07T15:38:37Z,2023-03-07T15:38:19Z,2023-03-07T15:38:19Z,kylecarbs,,True,False,,main,coordinatorflake,True,1,6,6,1,1,0,0,"After making the in-memory pubsub conform to the expectations of PostgreSQL, this flake started appearing. This fixes it because the agent socket is registered when a message is received."
6492,closed,chore: fix buffered provisioner job logs close flake,https://github.com/coder/coder/pull/6492,2023-03-07T19:34:32Z,2023-03-07T20:08:29Z,2023-03-07T20:08:14Z,2023-03-07T20:08:14Z,kylecarbs,,True,False,,main,bufferedlogs,True,1,15,12,1,2,2,0,"See https://github.com/coder/coder/actions/runs/4357599919/jobs/7617111287 The end of logs were received before the client finished reading from the WebSocket, which made the connection close a bit too early!"
6494,closed,chore: fix workspace audit log flake,https://github.com/coder/coder/pull/6494,2023-03-07T20:24:17Z,2023-03-16T17:48:10Z,2023-03-16T17:47:54Z,2023-03-16T17:47:54Z,kylecarbs,stale,True,False,,main,wsaudit,True,1,3,2,1,1,0,1,This happened because sometimes a build would be queued and completed intermittently in CI. See https://github.com/coder/coder/actions/runs/4358121985/jobs/7618290591
6848,closed,chore(site): Try to fix flake test,https://github.com/coder/coder/pull/6848,2023-03-28T14:37:50Z,2023-03-29T19:10:20Z,2023-03-29T19:10:05Z,2023-03-29T19:10:05Z,BrunoQuaresma,,True,False,,main,bq/chore-test,True,45,317,528,45,8,7,0,- Add a lint for the testing library to avoid bad patterns. I see this being very helpful for non-FE folks - Increased the timeout for the loader to disappear. There are a few pages we do 3 ~5 requests to get the data and sometimes 1s is not enough to get them even with mock.
6962,closed,fix: agent metadata flake,https://github.com/coder/coder/pull/6962,2023-04-03T04:33:44Z,2023-04-03T04:45:35Z,2023-04-03T04:45:23Z,2023-04-03T04:45:23Z,coadler,,True,False,,main,colin/fix-agent-flake,True,1,1,1,1,1,0,0,Fixes: https://github.com/coder/coder/issues/6961
6982,closed,fix: derp healthcheck test flake,https://github.com/coder/coder/pull/6982,2023-04-03T16:25:47Z,2023-04-03T16:36:40Z,2023-04-03T16:36:27Z,2023-04-03T16:36:27Z,coadler,,True,False,,main,colin/hlth-derp-flake,True,1,6,3,1,1,0,0,"Temporary fix, I'll actually fix this by not serializing `time.Time` over DERP, which will enforce monoticity."
7036,closed,chore: de-flake TestWorkspaceAgent_Metadata,https://github.com/coder/coder/pull/7036,2023-04-06T17:11:09Z,2023-04-06T19:08:36Z,2023-04-06T17:20:16Z,2023-04-06T17:20:16Z,ammario,,True,False,,main,fix-flake,True,1,6,2,1,1,0,3,
7039,closed,chore: de-flake TestWorkspaceAgent_Metadata (round 2),https://github.com/coder/coder/pull/7039,2023-04-06T19:32:40Z,2023-04-06T21:10:26Z,2023-04-06T21:10:14Z,2023-04-06T21:10:14Z,ammario,,True,False,,main,fix-flake-1,True,5,31,7,5,1,0,0,"This time, we keep the timing / ""racey"" tests, but avoid running them in the harsher CI conditions."
7119,closed,test: Handle Filter flake with ctx errors,https://github.com/coder/coder/pull/7119,2023-04-13T13:58:23Z,2023-04-18T15:09:07Z,2023-04-14T17:30:36Z,2023-04-14T17:30:36Z,Emyrk,,True,False,,main,stevenmasley/rbac_context_err,True,3,89,12,3,8,7,4,Fixes: https://github.com/coder/coder/issues/7114
7211,closed,chore(healthcheck): fix DERP test flakes,https://github.com/coder/coder/pull/7211,2023-04-19T21:36:20Z,2023-04-20T08:05:31Z,2023-04-20T01:03:06Z,2023-04-20T01:03:06Z,coadler,,True,False,,main,colin/derp-flake,True,6,160,40,6,2,1,0,It seems like the test flakes are from the DERP message getting lost. This adds a retry to the DERP exchange.
7281,closed,chore: fix flake in apptest reconnecting-pty test,https://github.com/coder/coder/pull/7281,2023-04-25T14:02:31Z,2023-04-26T00:31:56Z,2023-04-26T00:31:41Z,2023-04-26T00:31:41Z,deansheather,,True,False,,main,dean/fix-apptest-flake,True,3,88,41,3,3,2,0,Makes the tests identical because the other ones work. I had to change the codersdk methods a bit to accomplish this. https://github.com/coder/coder/actions/runs/4786259967/jobs/8510272554
7400,closed,fix: template versions test flake,https://github.com/coder/coder/pull/7400,2023-05-03T22:54:02Z,2023-05-04T01:20:05Z,2023-05-04T01:19:49Z,2023-05-04T01:19:49Z,coadler,,True,False,,main,colin/tmpl-flake,True,1,1,0,1,1,0,0,https://github.com/coder/coder/actions/runs/4877036481/jobs/8701482025#step:9:315
7803,closed,ci: add nightly flake workflow,https://github.com/coder/coder/pull/7803,2023-06-02T15:34:34Z,2023-06-02T17:49:03Z,2023-06-02T17:48:51Z,2023-06-02T17:48:51Z,ammario,,True,False,,main,ci-nightly,True,1,40,0,1,2,2,0,
8002,closed,chore: remove key comparison check to fix gitsshkey flake,https://github.com/coder/coder/pull/8002,2023-06-13T15:45:24Z,2023-06-13T15:51:58Z,2023-06-13T15:51:46Z,2023-06-13T15:51:46Z,kylecarbs,,True,False,,main,gitsshflake,True,1,0,1,1,2,0,0,In tests we use weak randomness and the same key was generated which caused a test flake here.
8004,closed,fix: scope errors to subtests to reduce flake,https://github.com/coder/coder/pull/8004,2023-06-13T16:30:04Z,2023-06-13T16:52:30Z,2023-06-13T16:52:17Z,2023-06-13T16:52:17Z,kylecarbs,,True,False,,main,flakerace,True,1,2,2,1,1,0,0,See: https://github.com/coder/coder/actions/runs/5257676837/jobs/9500882394
8226,closed,chore: update nix flake to include sqlc v1.18.0,https://github.com/coder/coder/pull/8226,2023-06-27T10:42:24Z,2023-06-27T10:50:19Z,2023-06-27T10:50:05Z,2023-06-27T10:50:05Z,mtojek,,True,False,,main,chore-sqlc-flake,True,1,24,6,1,1,0,0,"Right now, I'm unable to develop Coder on Mac (which is my primary environment), as it fails due to lack of `sqlc.embed`: ``` $ make gen generate # package database queries/provisionerjobs.sql:51:1: function ""sqlc.embed"" does not exist make: *** [Makefile:490: coderd/database/querier.go] Error 1 ``` sqlc v1.18.0 was [added](https://github.com/NixOS/nixpkgs/pull/229626) to nixpkgs on May 3rd. Steps: ``` nix flake --extra-experimental-features nix-command --extra-experimental-features flakes updat"
